City,Lat,Lng,Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Kapaa,22.08,-159.32,84.2,66,40,12.75,US,1596406323
Upernavik,72.79,-56.15,44.08,69,93,6.62,GL,1596406323
Albany,42.6,-73.97,87.01,65,47,9.8,US,1596406324
Punta Arenas,-53.15,-70.92,39.2,80,24,6.93,CL,1596406043
Naze,28.37,129.48,82.4,78,40,9.17,JP,1596406216
Barrow,71.29,-156.79,41.0,75,90,11.41,US,1596406201
Mar del Plata,-38.0,-57.56,53.6,71,97,8.05,AR,1596406151
Ayan,56.45,138.17,57.85,74,0,2.13,RU,1596406325
Puerto Ayora,-0.74,-90.35,75.2,73,75,18.34,EC,1596406325
New Norfolk,-42.78,147.06,46.0,80,80,1.01,AU,1596406325
Port Lincoln,-34.73,135.87,51.98,76,100,10.04,AU,1596406326
Bikin,46.82,134.26,69.82,96,100,2.17,RU,1596406326
Cape Town,-33.93,18.42,60.01,87,0,12.75,ZA,1596406326
Ushuaia,-54.8,-68.3,41.0,86,24,10.29,AR,1596406326
Jimbolia,45.79,20.72,62.6,77,50,6.93,RO,1596406327
Port Elizabeth,-33.92,25.57,64.4,52,0,8.05,ZA,1596406327
Ust-Kuyga,70.02,135.6,49.48,77,62,4.94,RU,1596406324
Bud,39.45,-86.18,78.8,61,75,9.22,US,1596406327
Kyra,49.58,111.98,56.91,89,98,6.76,RU,1596406328
Provideniya,64.38,-173.3,51.8,62,100,6.71,RU,1596406328
George Town,5.41,100.34,82.4,78,20,5.82,MY,1596406328
Guarujá,-23.99,-46.26,72.0,79,9,1.01,BR,1596406329
Muros,42.78,-9.06,64.0,77,100,1.01,ES,1596406329
Pisco,-13.7,-76.22,66.2,68,5,6.93,PE,1596406329
Namatanai,-3.67,152.43,81.84,79,24,7.45,PG,1596406329
Saint George,37.1,-113.58,107.01,10,1,13.87,US,1596406330
Vanimo,-2.67,141.3,78.98,83,100,2.82,PG,1596406330
Fairbanks,64.84,-147.72,71.6,68,1,8.05,US,1596406120
